Reason1,Reason2,Reason3,Reason4,Day,Month,Year,Age,Body Mass Index,Education,Children,Pets,Distance to Work,Transportation Expense,Daily Work Load Average
0,0,0,1,6,1,4,2,2,3,0,0,3,179,237.656
1,0,0,0,6,4,4,1,3,1,1,4,6,361,237.656
0,0,0,1,6,6,4,2,3,1,2,0,2,155,237.656
0,0,0,1,6,8,4,4,2,2,2,0,3,179,237.656
1,0,0,0,6,8,4,2,3,1,2,0,2,155,237.656
1,0,0,0,6,11,4,1,2,1,1,2,3,225,237.656
1,0,0,0,13,6,4,5,3,1,2,0,2,118,275.089
0,0,0,1,13,6,4,2,2,3,0,0,3,179,275.089
0,0,0,1,15,6,4,3,3,1,0,0,1,118,275.089
1,0,0,0,20,6,4,3,3,1,0,0,1,118,275.089
0,0,0,1,21,6,4,3,2,1,2,4,5,378,275.089
0,0,1,0,21,6,4,6,4,1,1,0,2,118,275.089
0,0,1,0,22,6,4,2,2,2,1,8,6,233,275.089
0,0,0,1,22,6,4,2,2,3,0,0,3,179,275.089
0,0,0,0,25,6,4,5,4,1,1,5,3,235,275.089
0,0,0,0,28,6,4,2,3,2,0,0,2,268,275.089
0,0,1,0,28,6,4,6,4,1,1,0,2,118,275.089
1,0,0,0,28,6,4,2,2,3,0,0,3,179,275.089
0,0,0,1,28,6,4,4,3,1,1,1,4,291,275.089
1,0,0,0,7,2,4,2,2,3,0,0,3,179,275.089
0,0,0,1,7,2,4,3,3,1,0,0,1,118,275.089
0,0,0,1,7,5,4,2,2,2,1,8,6,233,275.089
1,0,0,0,7,6,4,3,3,1,0,0,1,118,275.089
1,0,0,0,7,11,4,3,3,1,0,0,1,118,275.089
0,0,0,1,7,11,4,2,2,2,1,8,6,233,275.089
0,0,0,1,7,11,4,4,4,1,1,0,2,235,264.604
0,0,1,0,13,7,4,2,2,2,1,8,6,233,264.604
1,0,0,0,16,7,4,6,2,1,2,1,2,228,264.604
0,0,0,1,16,7,4,3,3,1,0,0,1,118,264.604
1,0,0,0,17,7,4,6,2,1,2,1,2,228,264.604
0,0,0,1,17,7,4,2,3,1,2,2,3,189,264.604
0,0,0,1,18,7,4,3,3,1,0,0,1,118,264.604
0,0,0,1,18,7,4,1,3,1,1,4,6,361,264.604
0,0,0,1,18,7,4,1,2,1,1,2,3,225,264.604
1,0,0,0,23,7,4,2,3,1,3,0,2,369,264.604
1,0,0,0,24,7,4,2,4,1,2,1,4,289,264.604
1,0,0,0,24,7,4,3,3,3,1,1,2,235,264.604
0,0,0,0,24,7,4,4,4,1,1,8,2,118,271.219
0,0,0,0,25,7,4,3,4,1,2,2,4,231,271.219
0,0,0,0,27,7,4,6,3,1,1,1,5,179,271.219
