Reason1,Reason2,Reason3,Reason4,Day,Month,Year,Age,Body Mass Index,Education,Children,Pets,Distance to Work,Transportation Expense,Daily Work Load Average,Target
0,0,0,1,7,7,1,2,4,1,2,1,4,289,239.554,1
0,0,0,0,14,7,1,6,4,1,1,0,2,118,239.554,0
0,0,0,1,15,7,1,3,4,1,0,0,6,179,239.554,0
1,0,0,0,16,7,1,3,2,1,2,0,1,279,239.554,1
0,0,0,1,23,7,1,2,4,1,2,1,4,289,239.554,0
0,0,0,1,7,10,1,3,4,1,0,0,6,179,239.554,0
0,0,0,1,17,7,1,1,3,1,1,4,6,361,239.554,1
0,0,0,1,24,7,1,3,2,1,4,0,5,260,239.554,1
0,0,1,0,7,6,1,2,3,1,2,0,2,155,239.554,1
0,0,0,1,13,7,1,3,3,3,1,1,2,235,239.554,1
1,0,0,0,20,7,1,3,2,1,4,0,5,260,239.554,1
1,0,0,0,14,7,1,3,2,1,4,0,5,260,239.554,1
1,0,0,0,15,7,1,3,2,1,4,0,5,260,239.554,1
1,0,0,0,15,7,1,3,4,1,0,0,6,179,239.554,0
0,0,0,1,15,7,1,3,4,1,0,0,6,179,239.554,1
1,0,0,0,17,7,1,4,2,1,0,0,3,246,239.554,1
0,0,0,1,17,7,1,3,4,1,0,0,6,179,239.554,0
0,0,1,0,27,7,1,3,4,1,0,0,6,179,239.554,1
1,0,0,0,30,7,1,2,3,1,2,2,3,189,239.554,1
0,0,0,1,8,5,1,5,4,1,2,1,3,248,205.917,0
1,0,0,0,8,12,1,1,3,2,0,0,2,330,205.917,1
1,0,0,0,8,3,1,3,4,1,0,0,6,179,205.917,0
1,0,0,0,8,10,1,1,3,1,1,4,6,361,205.917,1
0,0,0,1,14,8,1,3,2,1,4,0,5,260,205.917,1
0,0,1,0,17,8,1,2,4,1,2,1,4,289,205.917,1
0,0,0,1,24,8,1,1,3,1,1,4,6,361,205.917,1
0,0,0,1,8,4,1,2,4,1,2,1,4,289,205.917,0
0,0,0,1,8,12,1,1,2,1,0,0,3,157,205.917,1
0,0,1,0,19,8,1,2,4,1,2,1,4,289,205.917,1
0,0,0,1,28,8,1,3,4,1,0,0,6,179,205.917,0
0,0,1,0,17,8,1,3,4,1,0,0,6,179,205.917,1
0,0,1,0,27,8,1,5,4,1,1,5,3,235,205.917,1
0,0,0,1,27,8,1,3,3,3,1,1,2,235,205.917,1
0,0,1,0,17,8,1,5,4,1,1,5,3,235,205.917,1
0,0,0,1,17,8,1,3,4,1,0,0,6,179,205.917,0
0,0,0,1,17,8,1,1,3,1,1,4,6,361,205.917,0
0,0,0,1,8,4,1,2,4,1,2,1,4,289,205.917,1
1,0,0,0,20,8,1,2,2,1,0,0,5,291,205.917,1
0,0,0,1,21,8,1,5,4,1,1,5,3,235,205.917,1
0,0,0,1,28,8,1,3,2,1,4,0,5,260,205.917,1
0,0,0,1,9,1,1,1,2,1,0,0,5,184,241.476,0
0,0,0,1,9,7,1,3,3,1,0,0,1,118,241.476,1
0,0,0,1,9,1,1,3,4,1,0,0,6,179,241.476,1
0,0,1,0,9,8,1,4,4,1,1,0,2,235,241.476,1
0,0,0,1,9,9,1,2,3,1,2,0,2,155,241.476,0
0,0,0,1,13,9,1,3,3,1,0,0,1,118,241.476,0
0,0,0,1,14,9,1,3,4,1,0,0,6,179,241.476,0
0,0,0,1,24,9,1,4,3,1,1,1,4,291,241.476,1
0,0,0,1,9,4,1,3,2,1,4,0,5,260,241.476,1
1,0,0,0,14,9,1,4,3,1,1,1,4,291,241.476,1
0,0,0,0,21,9,1,3,2,1,4,0,5,260,241.476,0
0,0,0,0,28,9,1,1,2,1,1,2,3,225,241.476,0
0,0,0,1,9,8,1,1,2,1,1,2,3,225,241.476,0
0,0,0,1,15,9,1,3,3,1,0,0,1,118,241.476,0
0,0,0,0,22,9,1,2,4,1,2,1,4,289,241.476,0
0,0,0,0,29,9,1,6,4,1,1,0,2,118,241.476,0
0,0,1,0,16,9,1,1,2,1,1,2,3,225,241.476,0
0,0,0,1,23,9,1,3,4,1,0,0,6,179,241.476,0
0,0,0,0,30,9,1,2,3,1,3,0,2,369,241.476,0
0,0,0,1,9,11,1,5,4,1,2,1,3,248,241.476,0
0,0,0,1,18,9,1,3,4,1,0,0,6,179,241.476,0
0,0,0,1,25,9,1,3,2,1,4,0,5,260,241.476,1
0,0,0,1,10,6,1,3,4,1,0,0,6,179,253.465,0
0,0,0,1,13,10,1,3,3,1,0,0,1,118,253.465,0
0,0,0,0,14,10,1,6,4,1,1,0,2,118,253.465,0
0,0,0,1,15,10,1,2,2,3,0,0,3,179,253.465,0
0,0,0,1,16,10,1,3,4,1,0,0,6,179,253.465,0
0,0,0,1,16,10,1,1,2,1,1,2,3,225,253.465,0
0,0,0,1,10,6,1,3,3,1,0,0,1,118,253.465,0
0,0,0,1,14,10,1,1,2,1,1,2,3,225,253.465,0
0,0,0,1,21,10,1,5,4,1,2,1,3,248,253.465,0
0,0,0,1,22,10,1,4,3,1,1,1,4,291,253.465,1
0,0,0,1,21,10,1,3,4,1,0,0,6,179,253.465,1
0,0,0,1,21,10,1,1,2,1,1,2,3,225,253.465,0
0,0,1,0,22,10,1,3,2,1,4,0,5,260,253.465,1
1,0,0,0,13,10,1,4,3,1,1,1,4,291,253.465,1
0,0,0,1,20,10,1,1,2,1,1,2,3,225,253.465,0
0,0,0,1,21,10,1,2,4,1,2,1,4,289,253.465,1
0,0,0,1,23,10,1,1,3,1,1,4,6,361,253.465,0
0,0,0,1,30,10,1,3,2,1,4,0,5,260,253.465,0
0,0,0,1,11,5,1,3,4,1,0,0,6,179,306.345,0
0,0,0,1,11,4,1,1,2,1,1,2,3,225,306.345,0
1,0,0,0,11,5,1,3,4,1,0,0,6,179,306.345,1
0,0,1,0,11,12,1,4,2,2,2,0,3,179,306.345,1
0,0,0,1,19,11,1,4,3,1,1,1,4,291,306.345,1
1,0,0,0,11,2,1,2,3,1,2,0,2,155,306.345,1
0,0,0,1,11,9,1,2,3,1,2,2,3,189,306.345,1
1,0,0,0,16,11,1,4,3,1,1,1,4,291,306.345,1
